Ordinal	Word	Operation	Quality	core	senses	familiar_new	construction	phraseology	decision_boundary	relation_confusable	register_stance	family_morphology	form_identity	productive_use	repair_test	TestAction	Reasons	Rationale
o0777	chemistry	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	RETARGET		Content preserved; standing Test decision changed under the frozen exact-repair-target rule.
o0778	cheque	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	KEEP		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0779	cherish	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0780	cherry	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0781	chess	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0782	chest	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0783	chew	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	KEEP	REDUNDANCY_NOISE	Fresh final-sweep read + mandatory Self Attack found an allowed-gap correction; see proposal.
o0784	chicken	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	KEEP		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0785	chief	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0786	child	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NONE	PRODUCTIVE_VALUE_GAP; REGISTER_FORM_GAP	Fresh final-sweep read + mandatory Self Attack found an allowed-gap correction; see proposal.
o0787	childhood	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0788	chill	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	KEEP		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0789	chimney	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0790	chin	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0791	china	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	KEEP	CORRECTNESS_GAP	Fresh final-sweep read + mandatory Self Attack found an allowed-gap correction; see proposal.
o0792	chip	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	UPGRADED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	UPGRADED	UPGRADED	REMOVE	COVERAGE_GAP; STRUCTURE_GAP; PRODUCTIVE_VALUE_GAP	Fresh final-sweep read + mandatory Self Attack found an allowed-gap correction; see proposal.
o0793	chocolate	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0794	choice	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	REMOVE	CORRECTNESS_GAP; REDUNDANCY_NOISE	Fresh final-sweep read + mandatory Self Attack found an allowed-gap correction; see proposal.
o0795	choir	UPGRADED	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NONE	REGISTER_FORM_GAP	Fresh final-sweep read + mandatory Self Attack found an allowed-gap correction; see proposal.
o0796	choke	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	RETARGET		Content preserved; standing Test decision changed under the frozen exact-repair-target rule.
o0797	choose	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NONE	REGISTER_FORM_GAP	Fresh final-sweep read + mandatory Self Attack found an allowed-gap correction; see proposal.
o0798	chop	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
o0799	chorus	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	CORRECTNESS_GAP	Fresh final-sweep read + mandatory Self Attack found an allowed-gap correction; see proposal.
o0800	christ	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NONE		Fresh final-sweep read + mandatory Self Attack found no allowed-gap Content mutation.
