Ordinal	Word	Operation	Quality	core	senses	familiar_new	construction	phraseology	decision_boundary	relation_confusable	register_stance	family_morphology	form_identity	productive_use	repair_test	TestAction	Rationale	OwnerSHA256
o0271	arrest	UPGRADED	DEPTH_READY	UPGRADED	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	See proposal in o0201-o0300.production-c-lookahead.md	8b7e5f55fb5567da3d6deb65cb03ecbd9fdd63a67328ca97872e620bbba1b69b
o0272	arrival	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	abb2d4f80a0897e5a352ab810ac9fcc8b6a0e35c262827ac776269439424adbc
o0273	arrive	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	UPGRADED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP	See proposal in o0201-o0300.production-c-lookahead.md	e6b04de647d2d320a444f037412758c03a6c7e3f57f4243e26a69f85c3371047
o0274	arrogant	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	a8973e09c341c4ce73441e21774e739a21a8344f0cc14dbb6cae285ead29b303
o0275	arrow	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	cfd372c0960446c31b9b0a9c08feac51178a435ad9bc56d8b94487a46e83e29b
o0276	art	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	ddd972e8c68595da4a52717a96320cb05e7e7a31fc03d4fb70895ebc5cba75b9
o0277	artefact	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	2d7622b006168e721401b01b3abe1a40f0707fc0c907beeaea2b16ba1cad25f8
o0278	artery	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	57fe130e1c781854ff540652261f279eb4f845426e5cc5306f38dfea81293ed2
o0279	article	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	d517ab846d08ea6ca2bda51d9ae2d94dd713e1f1b19d563d7c87dc332a162f6f
o0280	articulate	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	KEEP	Content preserved; existing test changes a meaningful repair decision.	62af1ede85d92f56e049ac746e669ab21b7edc189a2a51531f808892bd2969c6
o0281	artificial	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	222b6f56951af3fb4e88dbdd15afaf609df9aaabb9a2bb817b338914f84ef401
o0282	artist	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	f5a245aa952d8b203d340be381faa0d806c57472deb0b997eb7abd7e58133083
o0283	artistic	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	7eeb191b6663261f0c00adda43c3d98e814e1e03040b0efb859252c18ef9a37d
o0284	as	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	3f9a7fceed8695b74c08e3b13d29e46fadbe69fc5f95dd65334804f711f386e2
o0285	ascend	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	UPGRADED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	See proposal in o0201-o0300.production-c-lookahead.md	65d0d73235daa3855991ba6f9eceb5c71d47a58967c0bcd832bf0ac1ea3fa842
o0286	ascertain	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	b2af1edf8f951e9508dc9866cda81cceaad674f369e5434af0c6e14a604bb3dd
o0287	ascribe	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	12f309d53dd4bfb57408a727ad8e1664e34c434d8dd209c9ef0dc7cfae6d013b
o0288	ash	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	ca9496d3932b34524afeea1e243e51c78a552c22d582f1518777136d9b25dec3
o0289	ashamed	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	c342c2a29ff648892242e5ff71f60c66e9c5a85b8b54efd6777b260c380f7d62
o0290	ashore	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	ebe324bd5c697d6c164017f92399a9cc909f13d1baab43f4144e530d9b45ec47
o0291	aside	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	e33ea3494edbb70ed9408af2afcdb909a2d126d695bc4bc9e1427f375c5d053e
o0292	ask	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP	Content preserved; existing test changes a meaningful repair decision.	4513beaf3cc780848bdfa155cc5e6463f10369d7b083008290a7b3fe409de3bc
o0293	asleep	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP	Content preserved; existing test changes a meaningful repair decision.	b2855b7fb0da76302ac7f55732b9d61b23005b7eb42f1b510c16c89fedd584d2
o0294	aspect	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	See proposal in o0201-o0300.production-c-lookahead.md	9e6e68da1e9b50ec1f569b893fc1d9745afd41bab7b23b49823205ad7282fd5b
o0295	aspire	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	5640dc7ac3c9fcec603435a35e8fac5bb5f251418bf5d23ccbc9beba489e4b35
o0296	assassinate	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	PRESERVE	UPGRADED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	See proposal in o0201-o0300.production-c-lookahead.md	05074673300ce10a7d954414de7e4be0493ea8108b4e6d457428239e46a4e106
o0297	assault	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	76dcd98a65d663cf4b782e75c13a428f1569ac16ed3505bbd4d65abff1d4fc2f
o0298	assemble	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	dc7ee0a03510748e1def94200442d450dbe11d68ec10337db3323a57dbc2ccf8
o0299	assembly	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	50d84afd9abb4ff809b2a6de8b3f2a0af573d9b301cbc01fea2c6d21049d9dd4
o0300	assert	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	e491621868687f1d4fbe6385d8546ab8165cfb0873ceb26db250d93c9b7f6cfd
